,AQI_Value,CO_AQI_Value,Ozone_AQI_Value,NO2_AQI_Value,PM2_5_AQI_Value,Lat,Lng,PM10
458,47,na,35,na,36,[52.3758916, 9.7320104],11
459,102,na,29,na,38,[52.513606, 13.418833],11
460,87,0.1,33,9.6,50,[52.514072, 13.469931],15
461,93,na,29,na,38,[52.509813, 13.382377],11
462,78,0.1,29,7.4,38,[52.5200066, 13.404954],11
463,89,na,29,na,38,[52.543041, 13.349326],11
464,93,na,29,na,38,[52.509813, 13.382377],11
465,34,na,26,na,27,[51.142082, -0.194181],8
466,91,0.1,29,13.3,38,[52.463611, 13.31825],11
467,87,0.1,33,9.6,50,[52.514072, 13.469931],15
468,93,na,29,na,38,[52.509813, 13.382377],11
469,78,0.1,29,7.4,38,[52.5200066, 13.404954],11
470,89,na,29,na,38,[52.543041, 13.349326],11
471,93,na,29,na,38,[52.509813, 13.382377],11
472,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
473,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
474,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
475,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
476,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
477,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
478,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
479,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
480,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
481,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
482,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
483,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
484,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
485,55,na,4,na,69,[5.36, -4.0083],34
486,74,na,24,na,28,[37.988028, 23.727628],10
487,74,na,24,na,28,[37.988028, 23.727628],10
488,74,na,24,na,28,[37.988028, 23.727628],10
489,74,na,24,na,28,[37.988028, 23.727628],10
490,74,na,24,na,28,[37.988028, 23.727628],10
491,74,na,24,na,28,[37.988028, 23.727628],10
492,70,0.1,27,22.4,65,[37.9432869, 23.64751053],23
493,74,na,24,na,28,[37.988028, 23.727628],10
494,74,na,24,na,28,[37.988028, 23.727628],10
495,51,na,36,na,48,[37.99510574, 23.81941795],15
496,70,0.1,27,22.4,65,[37.9432869, 23.64751053],23
