lat,long
59.3472,18.0728
59.349,18.0693
59.2986,17.9958
59.3406,18.0197
59.3494,18.0706
59.3394,18.1013
46.9505,7.43811
47.4154,8.54387
46.9409,7.43162
33.5114,36.2914
33.5069,36.2669
33.5113,36.274
33.3143,36.2693
38.6018,68.7854
38.5751,68.7927
38.5303,68.7586
38.5628,68.8003
-6.21472,35.8247
-6.19889,35.7311
13.7426,100.527
13.7472,100.525
13.6988,100.649
13.7384,100.532
13.755,100.49
13.8441,100.856
13.7934,100.323
13.7217,100.453
13.753,100.491
13.9014,100.534
13.7592,100.501
13.7693,100.346
14.0794,100.604
12.6571,99.8513
14.0756,100.617
13.7566,100.486
13.7806,100.509
13.7434,100.531
13.8446,100.572
13.882,100.579
13.7575,100.49
14.6744,101.177
13.756,100.628
13.7381,100.627
13.7267,100.78
13.8188,100.514
13.6517,100.496
13.8711,100.55
13.8707,100.551
13.7456,100.565
13.8553,100.585
13.8734,100.6
13.7798,100.557
13.7696,100.653
13.9206,100.626
13.7552,100.62
13.7786,100.56
14.1017,100.433
6.1814,1.1726
36.83,10.14
36.7847,10.1803
36.8292,10.1463
36.8209,10.1805
36.8314,10.1472
36.8706,10.3344
36.8458,10.2691
36.7945,10.1641
39.8875,32.6539
39.9367,32.8222
39.8572,32.8458
39.9367,32.8303
39.9291,32.8718
39.8189,32.5628
39.8672,32.7344
39.8769,32.7283
39.8135,32.7237
39.9219,32.7992
39.8914,32.7847
39.9297,32.8556
37.9297,58.3912
37.9308,58.3871
37.9553,58.3292
37.8991,58.3681
37.9525,58.3424
37.9308,58.3872
37.8783,58.3664
0.313045,32.5581
0.321111,32.5978
0.326389,32.6
0.339722,32.5806
0.313611,32.5892
0.320556,32.5617
0.301667,32.5853
0.305278,32.6106
0.335,32.5675
0.328333,32.6164
0.338333,32.5772
0.327222,32.6167
0.338056,32.5772
0.3375,32.5772
0.303333,32.6056
0.338056,32.5761
0.301111,32.5933
0.336667,32.3486
0.284722,32.6067
0.301667,32.5619
0.300833,32.6064
0.294722,32.6036
0.260556,32.6339
0.272222,32.6214
0.324444,32.5686
0.311667,32.5819
0.334444,32.6014
0.298889,32.6094
0.35,32.63
0.324444,32.565
0.305833,32.5619
50.4698,30.449
50.5136,30.6581
48.3042,38.0181
50.4247,30.5344
50.4419,30.5113
50.43,-30.6564
50.4276,30.4662
50.4658,30.6381
50.4447,30.5069
50.4644,30.5198
50.4664,30.4708
50.3839,30.5056
50.4308,30.5183
50.4269,30.5183
50.3979,30.5134
50.4497,30.4608
50.4539,30.3697
50.4523,30.5003
50.3825,30.4708
24.5,54.5
25.102,55.3856
24.2388,55.679
24.4889,54.4122
48.4054,2.6853
24.524,54.434
51.4742,-0.0804
51.4389,0.106667
51.4991,-0.151422
51.475,0.0575
51.4998,-0.175699
51.5224,-0.1316
54.6036,-5.92861
51.508,0.0638694
51.522,-0.09
51.4523,-0.2966
51.4872,-0.2202
51.5247,-0.133611
51.5078,0.0636111
51.4834,-0.006075
51.5169,-0.143056
51.5178,-0.116389
55.8437,-4.43024
51.526,-0.1354
51.4703,-0.0898
51.5249,-0.129594
51.5218,-0.1348
51.5167,-0.1233
51.519,-0.1539
51.5225,-0.12892
